Application Status,Merit Score,Domicile,Gender,Province,Admission Test,Admission Test 2,SSC,TerminalDegree,Optional Subject 1,Optional Subject 2,Optional Subject 3,Optional Subject 4,Optional Subject 5,Document Verified,English Marks,Offered,Offered1
Application Received,908.813,OPEN,male,Baluchistan,0,0,594,702,0,0,0,0,0,0,0,0,No
Application Fee Received,678,OPEN,male,FATA,0,0,759,633,97,116,47,81,30,1,0,0,No
Application Fee Received,763,Bahawalpur,male,Punjab,48,0,866,720,147,42,33,138,101,0,0,0,No
Application Fee Received,719,Bahawalpur,male,Punjab,52,0,672,672,127,107,143,85,45,0,0,0,No
Application Fee Received,1025,Bahawalpur,female,Punjab,71,71,867,966,156,184,184,184,0,0,0,0,No
Application Fee Received,972,Bahawalpur,male,Punjab,87,87,932,962,173,42,48,184,179,1,0,0,No
Application Fee Received,539,Bahawalpur,male,Punjab,40,0,482,509,69,86,93,34,0,0,0,0,No
Application Fee Received,863,Bahawalpur,male,Punjab,50,41,763,818,131,148,164,157,42,0,0,0,No
Application Fee Received,618,Bahawalpur,male,Punjab,44,0,677,579,77,43,89,95,107,0,0,0,No
Application Fee Received,678,Bahawalpur,male,Punjab,52,0,686,631,93,93,99,132,42,0,0,0,No
Admission Fee Challan Received,628,Bahawalpur,female,Punjab,50,0,521,588,81,102,106,46,84,1,0,1,Yes
Application Fee Received,643,Bahawalpur,male,Punjab,47,0,727,601,132,119,78,71,39,0,0,0,No
Admission Fee Challan Received,965,Bahawalpur,male,Punjab,67,0,862,903,161,179,146,45,0,1,0,1,Yes
Admission Fee Challan Received,843,Bahawalpur,male,Punjab,43,0,889,805,0,0,0,0,0,1,0,1,Yes
Application Fee Received,692,Bahawalpur,male,Punjab,44,0,741,653,108,113,106,40,101,0,0,0,No
Application Fee Received,650,Bahawalpur,male,Punjab,54,0,778,601,71,111,98,42,111,0,0,0,No
Admission Fee Challan Received,983,Bahawalpur,male,Punjab,66,0,861,922,177,155,154,181,46,1,0,1,Yes
Admission Fee Challan Received,609,Bahawalpur,male,Punjab,53,0,557,561,117,27,35,103,96,1,0,1,Yes
Admission Fee Challan Received,691,Bahawalpur,female,Punjab,41,0,779,655,118,80,135,85,95,1,0,1,Yes
Application Fee Received,726,Bahawalpur,male,Punjab,62,0,794,674,166,106,118,0,41,0,0,0,No
Admission Fee Challan Received,819,Bahawalpur,male,Punjab,50,0,724,774,147,153,114,45,135,1,0,1,Yes
Challan Printed,767,Bahawalpur,female,Punjab,51,0,769,721,126,121,137,41,129,0,0,0,No
Challan Printed,871,Bahawalpur,female,Punjab,50,0,827,826,128,42,43,152,159,0,0,0,No
Application Fee Received,825,Bahawalpur,female,Punjab,46,0,723,784,144,40,45,144,138,0,0,0,No
Admission Fee Challan Received,779,Bahawalpur,female,Punjab,56,0,749,728,115,46,126,126,142,1,0,1,Yes
Application Fee Received,624,Bahawalpur,male,Punjab,39,0,812,590,98,87,58,0,119,0,0,0,No
Admission Fee Challan Received,857,Bahawalpur,male,Punjab,58,0,815,809,144,143,47,157,39,1,0,1,Yes
Application Fee Received,601,Bahawalpur,male,Punjab,46,0,853,570,73,113,78,129,44,1,0,0,No
Application Fee Received,669,Bahawalpur,male,Punjab,52,0,694,622,95,172,84,78,39,1,0,0,No
Application Fee Received,595,Bahawalpur,male,Punjab,50,0,770,550,82,100,78,32,111,0,0,0,No
Admission Fee Challan Received,709,Bahawalpur,male,Punjab,50,0,825,664,79,151,103,42,112,1,0,1,Yes
Application Fee Received,626,Bahawalpur,male,Punjab,44,0,732,587,89,109,86,37,106,0,0,0,No
Application Fee Received,631,Bahawalpur,male,Punjab,67,0,651,574,105,74,104,93,0,0,0,0,No
Application Fee Received,700,Bahawalpur,female,Punjab,52,0,736,658,102,88,129,0,116,0,0,0,No
Challan Printed,653,Bahawalpur,male,Punjab,48,0,650,610,99,0,0,0,0,0,0,0,No
Application Fee Received,688,Bahawalpur,male,Punjab,45,0,620,648,90,102,106,129,43,1,0,1,Yes
